"english","german","french","thai","spanish"
"Hello","Halo","Bonjour","haha","xiaooo"
"smile","smile in german","smile in french",,
"run","run","run",,
"track","track in german","track in french",,
"Goodbye","Auf Wiedersehen","Au revoir",,
"Please","Bitte","S'il vous plaît",,
"Thank you","Danke","Merci",,
"Yes","Ja","Oui",,
"No","Nein","Non",,
"Good","Gut","Bien",,
"Bad","Schlecht","Mau",,
"Morning","Morgen","Matin",,
"Night","Nacht","Nuit",,
"Sun","Sonne","Soleil",,
"Moon","Mond","Lune",,
"Star","Stern","Étoile",,
"Water","Wasser","Eau",,
"Fire","Feuer","Feu",,
"Earth","Erde","Terre",,
"Sky","Himmel","Ciel",,
"Wind","Wind","Vent",,
"Rain","Regen","Pluie",,
"Snow","Schnee","Neige",,
"Love","Liebe","Amour",,
"Friend","Freund","Ami",,
"Family","Familie","Famille",,
"House","Haus","Maison",,
"Car","Auto","Voiture",,
"Tree","Baum","Arbre",,
"Book","Buch","Livre",,
"Pen","Stift","Stylo",,
"Table","Tisch","Table",,
"Chair","Stuhl","Chaise",,
"Window","Fenster","Fenêtre",,
"Door","Tür","Porte",,
"Food","Essen","Nourriture",,
"Drink","Getränk","Boisson",,
"School","Schule","École",,
"Teacher","Lehrer","Enseignant",,
"Student","Schüler","Étudiant",,
"Work","Arbeit","Travail",,
"Play","Spielen","Jouer",,
"Run","Laufen","Courir",,
"Walk","Gehen","Marcher",,
"Jump","Springen","Sauter",,
"Read","Lesen","Lire",,
"Write","Schreiben","Écrire",,
"Listen","Hören","Écouter",,
"Speak","Sprechen","Parler",,
"Happy","Glücklich","Heureux",,
"Sad","Traurig","Triste",,
"Angry","Wütend","En colère",,
"Excited","Aufgeregt","Excité",,
"Hungry","Hungrig","Faim",,
"Thirsty","Durstig","Assoiffé",,
"Hot","Heiß","Chaud",,
"Cold","Kalt","Froid",,
"Big","Groß","Grand",,
"Small","Klein","Petit",,
"Fast","Schnell","Rapide",,
"Slow","Langsam","Lent",,
"Beautiful","Schön","Beau",,
"Strong","Stark","Fort",,
"Weak","Schwach","Faible",,
"Clean","Sauber","Propre",,
"Dirty","Schmutzig","Sale",,
"Light","Licht","Lumière",,
"Dark","Dunkel","Sombre",,
"High","Hoch","Haut",,
"Low","Niedrig","Bas",,
"Near","Nah","Près",,
"Far","Weit","Loin",,
"Easy","Einfach","Facile",,
"Hard","Schwierig","Difficile",,
"Brave","Mutig","Brave",,
"Clever","Klug","Intelligent",,
"Lazy","Faul","Paresseux",,
"Rich","Reich","Riche",,
"Poor","Arm","Pauvre",,
"Old","Alt","Vieux",,
"Young","Jung","Jeune",,
"New","Neu","Nouveau",,
"Right","Rechts","Droite",,
"Left","Links","Gauche",,
"Inside","Innen","Dedans",,
"Outside","Draußen","Dehors",,
"Funny","Lustig","Drôle",,
"Calm","Ruhig","Calme",,
"Fear","Angst","Peur",,
"Hate","Hass","Haïr",,
"Shy","Schüchtern","Timide",,
"Ocean","Ozean","Océan",,
"Mountain","Berg","Montagne",,
"River","Fluss","Rivière",,
"Forest","Wald","Forêt",,
"Cloud","Wolke","Nuage",,
"Storm","Sturm","Orage",,
"Thunder","Donner","Tonnerre",,
"Lightning","Blitz","Foudre",,
"Air","Luft","Air",,
"Darkness","Dunkelheit","Obscurité",,
"Day","Tag","Jour",,
"Afternoon","Nachmittag","Après-midi",,
"Evening","Abend","Soir",,
"Winter","Winter","Hiver",,
"Spring","Frühling","Printemps",,
"Summer","Sommer","Été",,
"Autumn","Herbst","Automne",,
"Flower","Blume","Fleur",,
"Grass","Gras","Herbe",,
"Leaf","Blatt","Feuille",,
"Root","Wurzel","Racine",,
"Branch","Zweig","Branche",,
"Fruit","Frucht","Fruit",,
"Seed","Samen","Graine",,
"Animal","Tier","Animal",,
"Bird","Vogel","Oiseau",,
"Fish","Fisch","Poisson",,
"Insect","Insekt","Insecte",,
"Reptile","Reptil","Reptile",,
"Mammal","Säugetier","Mammifère",,
"Human","Mensch","Homme",,
"Child","Kind","Enfant",,
"Adult","Erwachsener","Adulte",,
"Elder","Ältere","Ancien",,
"Music","Musik","Musique",,
"Dance","Tanz","Danse",,
"Art","Kunst","Art",,
"Science","Wissenschaft","Science",,
"Library","Bibliothek","Bibliothèque",,
"Class","Klasse","Classe",,
"aa","aaaa","aaaa",,"xiaooo"
"b","b","b","haha","b"